"","animalN","name","DOB","species","breed","color","gender","licenseN","licenseStatus","statusDT","licenseType","licenseIssuer","licenseCost","licenseLength","expireD","renewal","rabiesVac","vacDate","reVacD","provider"
"14691","A18708876","Holly","5/9/1997","Dog","Bichon Frise","White","Yes / Female","0580","Inactive","1/9/2014 12:15:20 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14694","A18708893","Belli","4/1/2007","Dog","Retriever, Labrador","Yellow","Yes / Male","0581","Inactive","12/17/2013 12:10:32 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14697","A18709129","Zappa","7/1/2008","Dog","Terrier / Mix","Black / Tan","Yes / Male","0585","Inactive","1/17/2014 11:19:43 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14700","A17946687","Bravo","11/21/1999","Dog","German Shepherd / Chow Chow","Brown / Black","Yes / Male","3842","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14703","A18688087","Lisa","","Dog","Rottweiler","Black / Tan","Yes / Female","2002","Inactive","2/11/2014 11:29:36 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14706","A18750106","Anzuelo","12/18/2010","Dog","Shepherd / Mix","Yellow","Yes / Male","3802","Inactive","4/18/2014 3:16:46 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14709","A18750724","Bob","12/18/2010","Dog","Shepherd / Coonhound","Black / Tan","Yes / Male","3807","Inactive","12/17/2013 11:50:39 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14712","A18017198","Glover","8/3/2011","Dog","Doberman Pinscher / Mix","Tan / Black","Yes / Female","0989","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14715","A18739745","Logan","12/17/2008","Dog","Beagle","Brown / Black","Yes / Male","3704","Inactive","1/2/2014 3:31:29 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14718","A18798523","Abby","12/27/2009","Dog","Schnauzer, Miniature","Liver","Yes / Female","3714","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14721","A17550603","Noodle","10/25/2003","Dog","Terrier / Mix","Black / White","Yes / Female","3651","Inactive","2/12/2014 10:58:22 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14724","A17515021","Doc Holiday","10/23/2010","Dog","Terrier, Pit Bull / Mix","Black / White","Yes / Male","5633","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","","","",""
"14727","A18705167","Penny","12/11/2010","Dog","Beagle","Black / Brown","Yes / Female","0532","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14730","A18706036","Whiskey","12/11/2008","Dog","Beagle","Black / Brown","Yes / Male","0539","Inactive","12/23/2013 4:03:33 PM","Dog License S/N","DOH","$15.00","","6/30/2013","No","","","",""
"14733","A18706036","Whiskey","12/11/2008","Dog","Beagle","Black / Brown","Yes / Male","1711","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14736","A17555784","Checkers","10/26/2002","Dog","Terrier, Soft Coated Wheaten","White","Yes / Male","3653","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14739","A17559713","Snoopy","10/26/1998","Dog","Terrier, Jack Russell / Mix","Black / White","No / Male","3662","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14742","A17733022","Muffin","10/31/1997","Dog","Terrier, Yorkshire","Black / Brown","Yes / Female","3677","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14745","A18708576","Stella","12/12/2011","Dog","Retriever, Labrador","Black","Yes / Female","0541","Expired","4/27/2016 1:00:00 AM","Dog License S/N","WHS-WARL","$15.00","","6/30/2013","No","","","",""
"14748","A17887309","Joseph","11/12/1999","Dog","Poodle, Miniature","Black","Yes / Male","3690","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","","","",""
"14751","A17729510","Joey","10/31/2006","Dog","Border Collie","White / Black","Yes / Male","3669","Inactive","4/12/2014 7:35:17 PM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","LIC Rabies","11/12/2014","11/12/2017",""
"14754","A17550435","Samatha Jolene","4/25/2011","Dog","Retriever, Labrador","Black","Yes / Female","3649","Inactive","2/7/2014 3:00:16 PM","Dog License S/N","DOH LT","$15.00","","6/30/2013","No","LIC Rabies","9/14/2013","9/14/2016",""
"14757","A17177847","Chelita","9/10/2002","Dog","Spaniel, American Cocker / Poodle, Miniature","Beige / Cream","Yes / Female","5692","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2013","No","*VAC RABIES","10/1/2012","","Rachel Godbee"
"14760","A19147862","Bonnie","2/13/2007","Dog","Bulldog / Mix","Brindle","No / Female","1205","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14763","A19158057","Georgia","2/15/2007","Dog","Beagle / Basset Hound","Brown / Black","Yes / Female","1303","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14766","A19008309","Georgia","","Dog","Retriever, Labrador","Yellow","Yes / Female","1279","Inactive","8/26/2014 12:28:19 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14769","A19201550","Cooper","2/20/2010","Dog","Bulldog, French / Mix","Cream","Yes / Male","1439","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14772","A19190650","Lucy","2/1/2006","Dog","Terrier, Soft Coated Wheaten / Mix","Tan","Yes / Female","0468","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14775","A19147259","Callie","1/1/2008","Dog","Retriever, Labrador / Mix","Brown","Yes / Female","0861","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14778","A19142186","Barney","1/31/2006","Dog","Terrier / Mix","Grey","Yes / Male","1088","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14781","A19116005","Sparkle","","Dog","Australian Shepherd / Mix","White / Black","Yes / Male","10095","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14784","A18709400","Cookie","12/12/2010","Dog","Xoloitzcuintli","Black / Tan","Yes / Female","10104","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","6/30/2014","6/30/2017",""
"14787","A19138610","Sierra","","Dog","Terrier, Rat / Mix","Black / Brown","Yes / Male","10287","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14790","A19131556","Marco","5/9/2007","Dog","Shih Tzu / Mix","Beige","Yes / Male","10224","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14793","A19127514","Glenda","5/28/2006","Dog","Poodle, Miniature","Black / White","Yes / Female","0648","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14796","A19095760","Mickey","2/6/2009","Dog","Basset Hound / Mix","Blue Black / Tan","Yes / Male","0166","Cancelled (No longer owns)","6/17/2014 1:15:33 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14799","A18867827","Douglas","1/8/2011","Dog","Shepherd / Retriever, Labrador","Black / Tan","Yes / Male","3823","Cancelled (No longer owns)","6/20/2014 12:28:19 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14802","A19115380","Nightmare","3/16/2005","Dog","Retriever, Labrador / Mix","Tan / White","Yes / Male","1098","Cancelled (Deceased)","5/22/2014 5:03:19 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14805","A19115705","Jackie","2/8/2008","Dog","Miniature Pinscher / Mix","Black / Red","Yes / Female","0887","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14808","A19115807","Joli","10/5/2008","Dog","Retriever, Labrador / Poodle, Standard","Black","Yes / Male","10862","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14811","A19095456","Melvin","7/9/2000","Dog","Retriever, Labrador / Mix","Black","Yes / Male","0151","Cancelled (No longer owns)","6/17/2014 12:27:16 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14814","A19381376","Hank","3/10/2012","Dog","Terrier / Collie, Smooth","Brown / White","Yes / Male","9107","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14817","A19381474","Venus","3/10/2007","Dog","Boxer / Mix","White / Brindle","Yes / Female","3355","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14820","A19356667","Cachupin","9/30/2010","Dog","Italian Greyhound","Chocolate / Brown","Yes / Male","9126","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","","1 Years","7/2/2015","No","","","",""
"14823","A19356438","Jake","","Dog","Retriever, Labrador / Mix","Yellow","Yes / Male","1062","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14826","A19649676","Wallace","4/14/2009","Dog","Terrier / Mix","Black / Brown","Yes / Male","3489","Cancelled (No longer owns)","7/1/2014 7:58:58 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14829","A19610602","Pudge","","Dog","Chinese Shar-Pei / Mix","Tan","Yes / Female","0789","Cancelled (Deceased)","5/19/2014 4:10:23 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14832","A19564801","Sophie","4/21/2010","Dog","Chihuahua, Short Coat / Mix","Black / Grey","Yes / Female","0866","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14835","A19647463","Sawyer","8/16/2010","Dog","Terrier, Jack Russell","Black / Tan","Yes / Male","10438","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14838","A19230794","CoCoTee","2/25/2009","Dog","Siberian Husky / Mix","White / Tan","Yes / Female","3399","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","","1 Years","6/30/2014","No","LIC Rabies","10/3/2013","10/3/2016",""
"14841","A19381833","Fisher","","Dog","Barbet","Brown / White","Yes / Male","10551","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14844","A19560798","Silver","","Dog","Border Collie / Mix","Silver","Yes / Male","3021","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14847","A19554675","Archie","4/1/2011","Dog","Terrier, Border / Mix","Brown","Yes / Male","4911","Cancelled (No longer owns)","6/17/2014 1:12:03 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14850","A19518343","Brody","3/27/2012","Dog","Welsh Corgi, Cardigan","Tan / White","Yes / Male","4518","Cancelled (No longer owns)","6/17/2014 12:33:25 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14853","A19554373","Heidi","","Dog","Dalmatian / Mix","Black / White","Yes / Female","3017","Cancelled (Deceased)","5/28/2014 3:08:28 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14856","A19549459","Phife","8/6/2003","Dog","Doberman Pinscher","Black / Tan","Yes / Male","1934","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14859","A19531686","Penelope","11/28/2012","Dog","Retriever, Labrador","Brown","Yes / Female","4601","Cancelled (No longer owns)","6/20/2014 10:28:20 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14862","A19435622","Luci Lu","","Dog","Spaniel, American Cocker","Buff / Blond","Yes / Female","3170","Cancelled (Deceased)","7/24/2014 1:03:38 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14865","A19350824","Sammy","","Dog","Spaniel, English Springer","Black / White","Yes / Female","9300","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14868","A19485760","Allie","","Dog","Shih Tzu","Buff / White","Yes / Female","0315","Cancelled (Deceased)","8/8/2014 6:40:03 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14871","A19435120","Maggie","6/2/2008","Dog","Retriever, Golden","Blond","Yes / Female","1086","Inactive","7/15/2014 10:41:42 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14874","A19435179","Cookie","3/18/2012","Dog","Australian Shepherd / Mix","Black / White","Yes / Female","3153","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"14877","A19429999","Bismarck","","Dog","German Shepherd","Black / White","Yes / Male","10216","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14880","A19430033","Karpo","3/17/2011","Dog","Bichon Frise","White","Yes / Male","2268","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"14883","A19429867","Bear","","Dog","German Shepherd","Black / Red","Yes / Male","2206","Cancelled (No longer owns)","6/20/2014 12:27:28 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2013","No","","","",""
"14886","A19158508","Feb","2/15/2006","Dog","Poodle, Miniature / Mix","Grey","Yes / Male","1312","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14889","A19159261","Q-Ball","2/15/2007","Dog","Bulldog, French / Mix","White / Brindle","Yes / Female","1324","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14892","A19145776","Allie","10/4/2011","Dog","Xoloitzcuintli / Mix","Brindle","Yes / Female","1164","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14895","A19161501","Aisha","","Dog","Basenji / Mix","Brown / White","Yes / Female","1343","Inactive","4/10/2014 4:19:04 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14898","A19191618","Skandle","9/8/2000","Dog","Shih Tzu / Mix","Golden / Black","Yes / Female","1399","Inactive","8/9/2013 10:35:03 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14901","A19159547","Bentley","11/15/2011","Dog","Terrier, Yorkshire / Mix","Black / Golden","Yes / Male","1328","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14904","A19201696","Bailey","2/20/2010","Dog","Terrier, Cairn / Mix","Tan","Yes / Unknown","1522","Inactive","3/31/2014 12:18:44 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14907","A19191985","Spice","9/20/2001","Dog","Spaniel, American Cocker / Mix","Red","Yes / Female","1400","Cancelled (Deceased)","3/18/2013 12:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14910","A19203114","Mia","","Dog","Pug / Mix","Fawn","Yes / Female","1531","Inactive","4/14/2014 12:47:57 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14913","A19207861","Pollock","5/31/2010","Dog","Dachshund, Standard Smooth Haired / Mix","Brown","Yes / Male","1562","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14916","A19200156","Phoenix","","Dog","Retriever, Labrador / Mix","Red","Yes / Male","1503","Inactive","2/10/2014 10:58:47 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"14919","A19208880","Chyna","2/21/2011","Dog","Terrier, Pit Bull / Mix","Black / White","Yes / Female","1582","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
